,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
ethereum,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,6.783627140102563,6.883260523447956,-0.5708669805175268,12.057555890179263,-0.18647472592918857,0.3408188321213541,0.657148275415419,2.7894939483285244,,,,,6.883260523447956,2.0640373113236574,3.6274405312361186,1.8163298426804528,0.8799888610132,-0.07399282013570763,3.0918013974074605,0.24533636250592483,-0.2630248225767148,2.5639076491565804,11.346168903477926,2.625894555935104,1.0241767314820853,0.44223391526876504,-0.4253673698849929,0.783126500624697,-0.18647472592918857,,,2.7894939483285244,,,,2.7894939483285244,2.7894939483285244,-0.09055813371370135,10.571428571428571,0.3328199643879708,-0.12316170785221119,1.0,1.0
inv_vol_weights,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,12.375639598807684,12.592390622922586,-0.6108554594587696,20.614353899823865,-0.1383801401310858,0.6581376073387117,0.5622814941699628,6.102494757885079,,,,,12.592390622922586,2.421419513709624,4.203020793075498,2.2360997130498217,0.9234664627048077,-0.17598126263647546,4.041256453345731,0.2656483848474436,-0.30575440302203893,2.338994942218947,9.672037758978036,3.8231187773992676,1.634513486280722,0.5340298708632817,0.11445324236295651,1.2988153183654414,-0.36359847230334297,,,6.102494757885079,,,,6.102494757885079,6.102494757885079,-0.09982975875198896,12.208333333333334,0.49974421260672014,-0.22485971202040433,1.0,1.0
risk_parity_weights,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,13.392895213202085,13.632777463587761,-0.612347358962837,22.263144053855758,-0.12628815447460684,0.7132568163517632,0.6301505024765612,6.887678788968146,,,,,13.632777463587761,2.4521777204445545,4.283371994953505,2.3004268347303363,0.9381158696414926,-0.13298116086875414,4.049311571541891,0.26861309767292085,-0.3080811201026843,2.3281043992814348,9.983583090024256,3.9824859470889944,1.7106131272799368,0.5969908356582413,0.18007426765345436,1.3692462081099617,-0.37165732197408485,,,6.887678788968146,,,,6.887678788968146,6.887678788968146,-0.10336884074453799,12.166666666666666,0.5167461727359524,-0.22274320251152546,1.0,1.0
solana,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,44.100683446101975,45.17812811627872,-0.5834582915570716,77.43163268056766,0.20144646736459815,2.9440773855807043,6.252575888307441,85.16192506339841,,,,,45.17812811627872,2.5539677628009634,5.175311948862538,3.656063888193717,1.4315231153051335,0.4662701016801459,2.179408396373956,0.3701057819415179,-0.36374437892514655,2.264040115276992,13.630119589908043,7.220949171030517,3.1894086691776997,0.6944533218245641,-1.1631672242845363,2.0560190100666422,-0.46974099524164825,,,85.16192506339841,,,,85.16192506339841,85.16192506339841,-0.13508872570333705,12.36,0.9066351625679696,-0.31292243069373626,1.0,1.0
bitcoin,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,2.807522697110777,2.8392069636956654,-0.5285707644693362,5.371479382795822,-0.13362182190122662,0.18675123866102883,-0.26409882588440836,0.4130585066956711,,,,,2.8392069636956654,1.7380000863971685,3.1032932964127937,1.145621388562346,0.6591607201454122,0.11465329407792929,1.774717476982271,0.19246950702977905,-0.13468344811771182,2.034118574289101,4.817760013610262,1.7477315624392737,0.8592083001110612,-0.6014281088394632,-0.18087673112478475,0.48001665847549124,-0.35428600712102,,,0.4130585066956711,,,,0.4130585066956711,0.4130585066956711,-0.06862892644395385,12.28,0.2888179697997817,-0.1407030489897449,1.0,1.0
pancakeswap-token,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,40.67051973027456,41.6451041160421,-0.7985765362271922,52.149170714169614,-0.21542525832254678,0.3522451814348868,0.1093742592857998,28.180858271057712,,,,,41.6451041160421,2.359312827296622,5.005195331964295,3.8767314141182596,1.6431612498628874,0.9531247301199947,3.219460529228027,0.4862686514886374,-0.32451777369054935,1.9382488906213067,14.154368789038196,8.287642665290868,4.275840272832174,1.5651981651614122,2.4066246193764,3.7236214715263953,-0.5623466306890987,,,28.180858271057712,,,,28.180858271057712,28.180858271057712,-0.22729315659916546,23.5,1.357718436032865,-0.2432772773878374,1.0,1.0
mean_var_weights,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,40.67051973027455,41.645104116042084,-0.7985765362271918,52.149170714169614,-0.21542525832254655,0.3522451814348875,0.10937425928580025,28.180858271057712,,,,,41.645104116042084,2.359312827296622,5.005195331964294,3.876731414118258,1.6431612498628865,0.9531247301199941,3.2194605292280287,0.4862686514886372,-0.32451777369054946,1.9382488906213067,14.154368789038193,8.287642665290864,4.2758402728321725,1.5651981651614117,2.406624619376397,3.7236214715263936,-0.5623466306890987,,,28.180858271057712,,,,28.180858271057712,28.180858271057712,-0.22729315659916535,23.5,1.3577184360328645,-0.2432772773878372,1.0,1.0
cardano,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,19.168827254651646,19.547903136675597,-0.5363222032929462,36.448058679379855,-0.2683363327734556,0.5300998933518832,0.7108764650171184,10.192709653650137,,,,,19.547903136675597,2.436104177065745,5.110002632247425,2.676147050607699,1.0985355535291939,0.7234428485409459,2.240266574381821,0.3089113284102991,-0.24611259257301277,1.8118383137596135,17.176394641618476,5.414039642669668,2.988147232318644,1.991469689506369,4.466539782395255,2.7700899705996958,-0.2683363327734556,,,10.192709653650137,,,,10.192709653650137,10.192709653650137,-0.1608380111171716,14.714285714285714,0.871004385140416,-0.13659821066264882,1.0,1.0
polkadot,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,5.032752332200074,5.100331028049039,-0.7660303213085295,6.658132042784778,-0.17257368089463443,0.6623827997517417,-0.18480098790349397,1.8015661302591353,,,,,5.100331028049039,1.6110101886426003,3.1529643717521663,2.0070012347584143,1.2458029433379731,0.696365855443695,4.599911262920157,0.3854945384046482,-0.3735994230478964,1.7506476703249843,6.562898087808292,2.955061989839615,1.6879821336585945,0.5053211739461937,-1.226026922644865,1.072243131309956,-0.361850212136815,,,1.8015661302591353,,,,1.8015661302591353,1.8015661302591353,-0.15100432941155098,17.42105263157895,0.5476987004861178,-0.17576578271264195,1.0,1.0
litecoin,2020-09-30 21:00:00,2021-09-28 21:00:00,0.0,2.036387761885953,2.0573633127471562,-0.7196997938588832,2.8586409643331905,-0.1826183429837226,0.018947299650415195,-0.23762810336139029,0.12506081947611625,,,,,2.0573633127471562,1.2865877212291317,2.136582161233419,1.2730284733116595,0.9894610777844838,-0.39140674780499174,4.17460690895806,0.27348676713192677,-0.35459613291909253,1.6415199833294423,3.993150598627879,1.5511450423112416,0.944944355270719,-0.17506100018125073,-0.8183135992051565,0.5686392956140325,-0.30916049726005435,,,0.12506081947611625,,,,0.12506081947611625,0.12506081947611625,-0.13107330493890332,14.318181818181818,0.25251568061776114,-0.24049869441620297,1.0,1.0
