uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation date,end portability date,current package
00AJmuB7JTe5qJJuG99sLHthmVX2,masculino,paused,2/14/2021,paymentFailedSubscription,27,17,SP,monthly,12/12/2020,12/16/2020,customPackage
011nhqQ4gyMCNfwLdjjXaRPo5PF3,masculino,active,3/3/2021,activationComplete,32,64,GO,monthly,3/3/2021,3/6/2021,customPackage
01zSzL2oaLYLVlsHeHFyiVyyvf82,masculino,canceled,2/21/2021,cancelRequested,54,11,SP,weekly,10/23/2020,,customPackage
027onaL5DKXWigqGc4ZOiBniTJC2,feminino,active,3/3/2021,processingSubscription,54,19,SP,weekly,9/9/2020,9/15/2020,customPackage
02DozqKFn1RmId9AKn0xPumtb8L2,feminino,active,2/16/2021,processingSubscription,30,11,SP,monthly,9/16/2020,9/21/2020,customPackage
02LXPVt3aogCJUuHuAsxxoENekt2,masculino,active,2/27/2021,processingSubscription,22,21,RJ,monthly,1/27/2021,,customPackage
02N1mXy2jWVv29wMwo3j3D9NRTM2,masculino,paused,2/1/2021,paymentFailedSubscription,35,19,SP,monthly,12/29/2020,1/5/2021,customPackage
02zv4oiyIugUuWGOgE0jgLZC2kr1,feminino,active,2/26/2021,activationComplete,34,11,SP,monthly,2/26/2021,3/5/2021,madePackage-1
03bpVdZNj2fNooC4QW2pZ5KgHyx1,masculino,paused,2/3/2021,paused,25,18,SP,weekly,9/25/2020,10/1/2020,customPackage
04kuM1YTBvda8gqhqYZCMOrELHM2,prefiro não dizer,active,3/7/2021,processingSubscription,38,17,SP,monthly,2/6/2021,2/11/2021,customPackage
04ohF7AoKHdqhZfCyzpuPzPK6BJ3,masculino,active,2/22/2021,processingSubscription,30,41,PR,monthly,1/22/2021,1/27/2021,customPackage
056T3RkpMae4OgAliZXseMf7Emz1,masculino,active,3/5/2021,activationComplete,47,31,MG,monthly,3/5/2021,,customPackage
05PgU00VfIQ6h8QVF0YftVTd3ti2,feminino,active,3/4/2021,processingSubscription,21,11,SP,weekly,9/10/2020,9/16/2020,customPackage
05Vyqxi1cgYtIbJL85B6iinxhn22,masculino,paused,2/15/2021,paymentFailedSubscription,26,31,MG,weekly,1/29/2021,,customPackage
05n9v25PSLevBQW576daEd3Bgm62,masculino,active,3/2/2021,processingSubscription,27,19,SP,weekly,9/10/2020,,customPackage
074mArNYDzPCPXfGYvbNQDTACg72,masculino,cancelRequested,2/23/2021,active,19,62,GO,weekly,2/18/2021,,customPackage
0847ee5ObXeObe2yainHYm43sDq2,masculino,paused,2/3/2021,active,27,11,SP,weekly,8/28/2020,9/2/2020,customPackage
08Lb9FC9cEg6jPC10Vj4aL989Cw2,masculino,paused,1/9/2021,canceled,23,61,DF,monthly,12/9/2020,,customPackage
08Zmvq10CbetgFxsHcrAuqukQda2,masculino,active,2/25/2021,processingSubscription,35,19,SP,monthly,11/24/2020,,customPackage
09A3Sn7LxXM6Z1DcoTsLvYUzeq62,masculino,paused,2/8/2021,active,25,19,SP,weekly,12/14/2020,,customPackage
09NhDHRhCYZOKcOY2rqZtp0GYww2,masculino,canceled,12/18/2020,cancelRequested,20,11,SP,weekly,11/19/2020,11/24/2020,customPackage
09kDzMKttEVZdCvObKO9KyZ27v12,masculino,active,2/28/2021,processingSubscription,23,11,SP,monthly,11/19/2020,,customPackage
09sqD9aRz6TzVzS3GzZq4DwCg3M2,masculino,active,2/12/2021,activationComplete,23,19,SP,monthly,2/12/2021,,customPackage
0AEP8C69cvfze9eEjEvezZpOWAn1,masculino,active,3/2/2021,processingSubscription,28,16,SP,weekly,10/6/2020,10/16/2020,customPackage
0B2tFhrzlbY5Qie3xLsCfMPVCma2,masculino,paused,12/30/2020,active,34,12,SP,weekly,9/18/2020,,customPackage
0BS5n9NweCeinAJzFIvoOP8EOt32,feminino,active,3/3/2021,processingSubscription,36,11,SP,weekly,11/5/2020,11/10/2020,customPackage
