TOKEN1,TOKEN2,DPR,INFL1,INFL2,INFL,IL
LAVA,,0.042266743,0,,#VALUE!,#VALUE!
OLIVE,USDT,0.028569113,0,0.000163528,1.000163528,-3.34215E-09
AVAX,OLIVE,0.023602168,0,0,1,0
BUSD,MASH,0.021211413,0.000163528,0,0.999836498,-3.34215E-09
BUSD,MDS,0.020058919,0.000163528,0,0.999836498,-3.34215E-09
BGO,BUSD,0.019460575,0,0.000163528,1.000163528,-3.34215E-09
BNB,MASH,0.018952792,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,PALM,0.018412453,0.000163528,0,0.999836498,-3.34215E-09
BTS,BUSD,0.01767583,0,0.000163528,1.000163528,-3.34215E-09
BNB,PALM,0.015969273,-7.16102E-05,0,1.000071615,-6.41048E-10
ALPA,BNB,0.015383085,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,BROOBEE,0.015055608,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,SUTER,0.014594993,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,SBGO,0.014416005,0.000163528,0,0.999836498,-3.34215E-09
BNB,SWINGBY,0.01408538,-7.16102E-05,0,1.000071615,-6.41048E-10
BMXX,BNB,0.014001013,0.000917021,-7.16102E-05,0.999012274,-1.22071E-07
BNB,CGG,0.013966691,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,XED,0.0139487,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,HAKKA,0.013766959,0.000163528,0,0.999836498,-3.34215E-09
BUSD,RAMEN,0.013444233,0.000163528,0,0.999836498,-3.34215E-09
BUSD,SBDO,0.013091863,0.000163528,0,0.999836498,-3.34215E-09
MDO,USDT,0.013052678,0,0.000163528,1.000163528,-3.34215E-09
BNB,EASY,0.012513119,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,DFT,0.012382631,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,DEXE,0.012184949,0.000163528,0,0.999836498,-3.34215E-09
MASH,,0.011911577,0,,#VALUE!,#VALUE!
BDO,BUSD,0.011793875,0,0.000163528,1.000163528,-3.34215E-09
BNB,BUX,0.011484427,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,TRADE,0.011362484,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,RAMEN,0.011048546,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,HZN,0.010875643,-7.16102E-05,0,1.000071615,-6.41048E-10
PALM,,0.010788287,0,,#VALUE!,#VALUE!
BTC,KEBAB,0.010514068,4.82505E-05,0,0.999951752,-2.90999E-10
BUSD,SALT,0.01029494,0.000163528,0,0.999836498,-3.34215E-09
BNB,SALT,0.010084525,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,NRV,0.009815005,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,PCWS,0.009645312,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,MDO,0.009587277,0.000163528,0,0.999836498,-3.34215E-09
BNB,GUM,0.009247978,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,NULS,0.00916338,0.000163528,0,0.999836498,-3.34215E-09
BNB,LIEN,0.00913671,-7.16102E-05,0,1.000071615,-6.41048E-10
MDX,USDT,0.009081982,0,0.000163528,1.000163528,-3.34215E-09
BUSD,MDX,0.00898231,0.000163528,0,0.999836498,-3.34215E-09
BDO,BNB,0.008646312,0,-7.16102E-05,0.99992839,-6.41048E-10
APYS,BNB,0.008595519,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,ODDZ,0.008575329,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,TEN,0.008467192,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,TNDR,0.008421269,-7.16102E-05,0,1.000071615,-6.41048E-10
BANANA,BUSD,0.008352304,0.014300481,0.000163528,0.986062363,-2.46245E-05
BNB,EPS,0.008325758,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,SWGB,0.008169123,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,KEBAB,0.008142697,0.000163528,0,0.999836498,-3.34215E-09
BUSD,XMARK,0.008001817,0.000163528,0,0.999836498,-3.34215E-09
BNB,MDX,0.007932163,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,TNDR,0.007858341,0.000163528,0,0.999836498,-3.34215E-09
BUSD,SWAMP,0.007744847,0.000163528,0.02283105,1.022663815,-6.27772E-05
BNB,SFP,0.007731145,-7.16102E-05,0,1.000071615,-6.41048E-10
ALICE,BNB,0.007728682,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,SWTH,0.007708789,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,DITTO,0.007698155,-7.16102E-05,0,1.000071615,-6.41048E-10
SOAK,,0.007696474,0,,#VALUE!,#VALUE!
BGOV,BNB,0.00746934,0,-7.16102E-05,0.99992839,-6.41048E-10
USDT,XRP,0.007434166,0.000163528,0,0.999836498,-3.34215E-09
BALBT,BNB,0.007309781,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,JGN,0.007219708,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,PERL,0.00718508,-7.16102E-05,0,1.000071615,-6.41048E-10
