,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
ethereum,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,7.559006822056558,47.5264364636706,-0.2808750567003918,169.20846237466662,0.16889070132295014,1.0441247706797658,7.373390209931516,3.4281765767963934,,,,,47.5264364636706,3.7468677142521236,7.670882031850239,3.3860653220351233,0.9037055963185996,0.5993051612663413,4.529598208683108,0.31931417269526396,-0.18973192980824705,5.601867625354262,inf,4.45681205332442,0.7955939610484049,0.8346085138520214,1.6695462930491107,0.7968958391618779,0.07563441822079797,,,3.4281765767963934,,,,3.4281765767963934,3.4281765767963934,-0.07958049876232827,6.363636363636363,0.3714010044437016,,1.0,
litecoin,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,5.134258392774124,25.570908786446665,-0.30967482800896784,82.57341725465061,0.12647144843483749,1.1096341741489937,4.679333307517675,1.3398836140567347,,,,,25.570908786446665,2.900586158650122,6.066469562962007,3.0627968061223476,1.0559234025813995,0.5718668079989271,1.643058884909928,0.23762097360769197,-0.1847909117985801,4.006141334375691,468.52244155896676,3.5399602857230583,0.8836333993879719,1.3372667488514918,2.6805467239383276,0.7982968207675265,-0.005770671984777542,,,1.3398836140567347,,,,1.3398836140567347,1.3398836140567347,-0.12382089983644187,10.1875,0.345124584220538,-0.005770671984777542,1.0,
bitcoin,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,3.67526837955295,15.260091129230368,-0.25407795182104453,60.06066649962037,-0.07546695320341057,0.45218471291126017,2.821619769088542,0.9710087784083923,,,,,15.260091129230368,3.232527665299291,7.161197820544976,2.4119530918858048,0.7461507964116646,1.0003924670572637,3.585517851152033,0.2168758995880531,-0.13133248710118262,3.7525245744084903,28.309452192588257,2.762579287282442,0.7361921907514507,-0.331358620232459,-0.6058210380583526,0.5308666239783435,-0.07546695320341057,,,0.9710087784083923,,,,0.9710087784083923,0.9710087784083923,-0.06393605818226018,7.0,0.3407567904051917,-0.04613968388893369,1.0,
chainlink,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,3.1877513456902546,12.324353104930971,-0.2947752856309337,41.80931613229401,0.20325940761141204,0.8732630998453905,3.408516976235794,2.619728552212682,,,,,12.324353104930971,2.4001306290621973,4.7473466462332015,2.5424142784254697,1.0592816272749568,0.15999657128047376,0.07044217890378013,0.17550024941668751,-0.18660423900224254,3.239973907123621,72.6937706275528,2.9165048165796854,0.9001630569206945,1.7674026211448393,3.9452466052542547,0.7831091331653024,-0.030642479108597298,,,2.619728552212682,,,,2.619728552212682,2.619728552212682,-0.12140995646244204,10.352941176470589,0.2886561592411245,-0.030642479108597298,1.0,
bitcoin-cash,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,2.6730615995804565,9.511534273647356,-0.37618528028458886,25.284174506912557,-0.04262220812362083,1.2623427348887581,2.902152156940119,1.6110337705562032,,,,,9.511534273647356,2.1583556433917255,4.238851794611157,2.4075035780946337,1.1154341433330177,0.7680301104649205,4.009789497110628,0.336702034202885,-0.20466202607006123,2.7026556868399063,48.96720958272927,2.732643042250709,1.0110955145181164,1.896553408776619,4.036080940362336,0.8395550344758478,-0.04262220812362083,,,1.6110337705562032,,,,1.6110337705562032,1.6110337705562032,-0.18341537873858896,17.9,0.2727773304616446,-0.04262220812362083,1.0,
polkadot,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,7.263346533008763,44.53783287770336,-0.3611145598243968,123.33435932176556,-0.05181171124048922,0.7605673587800124,7.6111272965073375,4.244619112510806,,,,,44.53783287770336,2.7826056289496073,8.036667180054444,3.7253052178270005,1.338783038124324,2.611644646129752,11.956136118498152,0.5553657302739681,-0.11873800713955218,2.6110882383226324,78.90165704824352,5.277771812586174,2.0212920172995084,1.1670561413822507,-0.2124670448650603,1.4426394053932934,-0.05181171124048922,,,4.244619112510806,,,,4.244619112510806,4.244619112510806,-0.12000911844400071,12.142857142857142,0.6279059483851603,-0.030414758958600352,1.0,
dogecoin,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,204.33193574256777,15180.35653932047,-0.400462968755701,37907.01693714187,0.6055263133994215,9.01962522174474,214.87134546099543,117.14495171953165,,,,,15180.35653932047,2.663331029460357,16.240060158663134,12.579397780343175,4.7231822260156715,8.469338690805056,89.74046855545576,3.389010675484921,-0.3977437961754682,2.3819530828327156,inf,24.282006290563157,10.194158090505294,1.384881671207721,0.17070342978951736,7.251626352704088,0.12741640167913415,,,117.14495171953165,,,,117.14495171953165,117.14495171953165,-0.18086791989979414,12.142857142857142,2.023500524213597,,1.0,
cardano,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,10.886358757206871,86.87578970637098,-0.26618353435516395,326.3755209984332,-0.05596697594412903,1.893952587577982,12.64895043949857,6.191819386869789,,,,,86.87578970637098,3.462317444720144,8.363054865632588,4.11363333184612,1.1881155894931583,1.056814049422908,2.156737985738031,0.3089113284102989,-0.17291892046375235,2.216128368875442,63.67145382983601,7.820850610112739,3.5290602836700167,1.8653848782473073,3.6414241823789926,2.7700899705996958,-0.08519462887821216,,,6.191819386869789,,,,6.191819386869789,6.191819386869789,-0.1438807158031398,12.153846153846153,0.9406648921442876,-0.0705808024111706,1.0,
binancecoin,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,18.712254655457507,218.33157544428852,-0.37948367589742127,575.3385173366614,-0.02552711549125064,9.912557913610271,21.65917644922233,15.945977480648136,,,,,218.33157544428852,3.4961772464744745,9.993075996426935,5.051178952988506,1.4447719886290338,3.212491899452423,21.805964992729137,0.7378630795941077,-0.2386398303670073,2.1103598708380136,293.0176818012677,9.793483013344844,4.640669654818588,2.280215062154517,5.368409418496807,3.740866120858323,-0.02552711549125064,,,15.945977480648136,,,,15.945977480648136,15.945977480648136,-0.09653448738853461,8.944444444444445,0.9563987011015128,-0.02552711549125064,1.0,
uniswap,2020-10-14 21:00:00,2021-05-04 21:00:00,0.0,12.732784728684862,113.09301972184791,-0.34558601585573623,327.24998852111605,0.056898783272906206,1.139252465542894,19.064261740564728,10.480481965414649,,,,,113.09301972184791,3.2041665499193823,8.809931547291022,4.568144702120543,1.425688905664245,1.7738608430309395,5.70239608640958,0.44958224897187327,-0.15442641196946327,2.0158034292827227,inf,9.184852484653629,4.556422690441522,2.549624365479702,6.610893815310629,3.7220716635302518,0.056898783272906206,,,10.480481965414649,,,,10.480481965414649,10.480481965414649,-0.1274891185815828,9.0,0.7654043737211358,,1.0,
